bootstrap_ci_high,bootstrap_ci_low,dataset_id,exact_signflip_pvalue,full_minus_variant_mean,full_minus_variant_std,metric,n_paired,paired_seeds,variant
0.019364667522655865,-0.015713046822622735,ISOLET,0.6875,0.0036563941936555546,0.021945298601410566,ARI,5,"42,123,7,2025,3407",F_matched_total_mix
0.009567055675080626,-0.006572580251521432,ISOLET,0.75,0.001980694203652411,0.010839343633778286,NMI,5,"42,123,7,2025,3407",F_matched_total_mix
0.025779145825317394,-0.023060151340259072,ISOLET,1.0,0.002308580223162737,0.031191947979240055,ACC,5,"42,123,7,2025,3407",F_matched_total_mix
0.029071338538870985,0.009318215591799416,ISOLET,0.0625,0.019812531896391917,0.012736805001337944,ARI,5,"42,123,7,2025,3407",T_beta_no_mutual
0.014014695871639482,0.004949593314507883,ISOLET,0.125,0.010376583069161982,0.006053117761769411,NMI,5,"42,123,7,2025,3407",T_beta_no_mutual
0.02901115813774524,0.001821213287161716,ISOLET,0.25,0.01567269462613823,0.017640793289285944,ACC,5,"42,123,7,2025,3407",T_beta_no_mutual
0.031957701001885906,-0.00532967186997717,ISOLET,0.3125,0.014111323716558034,0.02474577296974709,ARI,5,"42,123,7,2025,3407",T_beta_no_perturb
0.017327450635921848,-0.002231049782832062,ISOLET,0.1875,0.008725456839542711,0.012517163912709624,NMI,5,"42,123,7,2025,3407",T_beta_no_perturb
0.030396306271642894,-0.018263434654354205,ISOLET,0.8125,0.005951006797486213,0.032999874237856594,ACC,5,"42,123,7,2025,3407",T_beta_no_perturb
0.028587909868795558,-0.0049904620053573545,ISOLET,0.4375,0.010007049818569591,0.021945958583759053,ARI,5,"42,123,7,2025,3407",T_beta_no_snn
0.007784722016175483,-0.006466606420483823,ISOLET,0.875,0.0006590577978458301,0.009374304573180592,NMI,5,"42,123,7,2025,3407",T_beta_no_snn
0.015595741952032815,-0.007182249583172995,ISOLET,0.5625,0.0042067461844299105,0.014601137637701971,ACC,5,"42,123,7,2025,3407",T_beta_no_snn
0.02075975621931192,-0.0011365333723024396,ISOLET,0.3125,0.008404902136523807,0.014687749722476516,ARI,5,"42,123,7,2025,3407",T_edge_none
0.011123490025215954,0.0017716285012213452,ISOLET,0.0625,0.005838804853949675,0.006092229521037315,NMI,5,"42,123,7,2025,3407",T_edge_none
0.01703219186866738,-0.00017955623957932598,ISOLET,0.25,0.008310888803385907,0.011285809212268225,ACC,5,"42,123,7,2025,3407",T_edge_none
0.03844937227615457,-0.00024088705584128788,ISOLET,0.25,0.018243364170043908,0.02460907311964008,ARI,5,"42,123,7,2025,3407",T_edge_sim
0.013103865816782667,0.0015291116983686237,ISOLET,0.125,0.007316488757575646,0.007332854743096187,NMI,5,"42,123,7,2025,3407",T_edge_sim
0.031037578555854827,-0.0016929588303193689,ISOLET,0.375,0.01264588944465821,0.021041276248730718,ACC,5,"42,123,7,2025,3407",T_edge_sim
0.03474543647320991,0.0008612204086008602,ISOLET,0.125,0.014613945484788182,0.022171950709537282,ARI,5,"42,123,7,2025,3407",T_edge_sim_mutual
0.007712118450401473,-0.00045183173369029995,ISOLET,0.375,0.0029135885724559164,0.005429735125438583,NMI,5,"42,123,7,2025,3407",T_edge_sim_mutual
0.022008464794151618,-0.0044889059894831496,ISOLET,0.375,0.008336539694754386,0.018033096575042797,ACC,5,"42,123,7,2025,3407",T_edge_sim_mutual
0.0,0.0,ISOLET,1.0,0.0,0.0,ARI,5,"42,123,7,2025,3407",T_edge_sim_mutual_snn
0.0,0.0,ISOLET,1.0,0.0,0.0,NMI,5,"42,123,7,2025,3407",T_edge_sim_mutual_snn
0.0,0.0,ISOLET,1.0,0.0,0.0,ACC,5,"42,123,7,2025,3407",T_edge_sim_mutual_snn
0.010623809048241496,-0.0004938280247199778,ISOLET,0.5,0.0039067877011731865,0.007441848185801207,ARI,5,"42,123,7,2025,3407",T_edge_sim_mutual_snn_distance
0.0019301984575422315,-0.004003654592415029,ISOLET,0.625,-0.00090275097606487,0.0036779512900493223,NMI,5,"42,123,7,2025,3407",T_edge_sim_mutual_snn_distance
0.007849172758753343,-0.0069000897781198,ISOLET,0.875,5.130178273693442e-05,0.009024685710986103,ACC,5,"42,123,7,2025,3407",T_edge_sim_mutual_snn_distance
0.02956087689573158,0.00594645554891946,ISOLET,0.0625,0.01674432016629296,0.015005602458967093,ARI,5,"42,123,7,2025,3407",T_fixed_mean_gate
0.011708850826924477,-0.0013800855937494028,ISOLET,0.375,0.0051643826165875375,0.008451075239674985,NMI,5,"42,123,7,2025,3407",T_fixed_mean_gate
0.04450429652430421,-0.0076952674105424945,ISOLET,0.3125,0.017057842760035923,0.03130630605191611,ACC,5,"42,123,7,2025,3407",T_fixed_mean_gate
0.02052700096378144,-0.013412534776587904,ISOLET,0.75,0.003557233093596768,0.021690268167918844,ARI,5,"42,123,7,2025,3407",T_no_vicinal
0.012609703985422095,-0.006822184679723753,ISOLET,0.6875,0.0028937596528491706,0.012162335202436472,NMI,5,"42,123,7,2025,3407",T_no_vicinal
0.028190329613954068,-0.009234320892651037,ISOLET,0.4375,0.010439912786969341,0.02395039949415799,ACC,5,"42,123,7,2025,3407",T_no_vicinal
0.03268029594361917,0.00652429299312336,ISOLET,0.125,0.01989508254301344,0.01701084523332733,ARI,5,"42,123,7,2025,3407",T_random_neighbor
0.014010087293444795,0.00047215462769332193,ISOLET,0.25,0.0072411209605690585,0.008987976895209401,NMI,5,"42,123,7,2025,3407",T_random_neighbor
0.028292933179427958,0.008798255739386928,ISOLET,0.0625,0.018545594459407445,0.013008378599845466,ACC,5,"42,123,7,2025,3407",T_random_neighbor
0.038947716747772955,-0.00044001010255720894,ISOLET,0.1875,0.016503580041576437,0.025236713485188227,ARI,5,"42,123,7,2025,3407",T_shuffled_gate
0.01668561302373812,-0.007091613648221151,ISOLET,0.4375,0.005609113364431218,0.015854225496425865,NMI,5,"42,123,7,2025,3407",T_shuffled_gate
0.052327818391689075,-0.010106451199179167,ISOLET,0.5,0.018186481980248793,0.03944376107770432,ACC,5,"42,123,7,2025,3407",T_shuffled_gate
0.016931294956686237,-0.015096772077582999,ISOLET,1.0,-0.0016736017997901254,0.021639707181941765,ARI,5,"42,123,7,2025,3407",T_uniform_pseudo_loss
0.00809307635394536,-0.009001801222175199,ISOLET,0.9375,-0.0008803696505062186,0.011013469783926914,NMI,5,"42,123,7,2025,3407",T_uniform_pseudo_loss
0.018032576632037944,-0.020546363986148508,ISOLET,1.0,0.0,0.02469406262859666,ACC,5,"42,123,7,2025,3407",T_uniform_pseudo_loss
0.016029815623230515,0.01268132414473031,Mouse_retina,0.0625,0.014527583842966907,0.0021295405007130397,ARI,5,"42,123,7,2025,3407",F_matched_total_mix
0.018461176915716405,0.015406710465975238,Mouse_retina,0.0625,0.01686464305271813,0.001973010315651626,NMI,5,"42,123,7,2025,3407",F_matched_total_mix
0.004382183908045967,0.0035440613026820112,Mouse_retina,0.0625,0.0039990421455938785,0.0005590334066057563,ACC,5,"42,123,7,2025,3407",F_matched_total_mix
-8.622446338855117e-05,-0.0011464626472943884,Mouse_retina,0.125,-0.0007040074032135912,0.0006697432152602118,ARI,5,"42,123,7,2025,3407",T_beta_no_mutual
-0.000172845345354955,-0.0016789117357000505,Mouse_retina,0.125,-0.0010654269058649525,0.0010297159094540974,NMI,5,"42,123,7,2025,3407",T_beta_no_mutual
-2.3946360153259684e-05,-0.00031130268199230926,Mouse_retina,0.125,-0.00019157088122605525,0.00018158226638054177,ACC,5,"42,123,7,2025,3407",T_beta_no_mutual
0.0041945965130558704,0.0034126043020008766,Mouse_retina,0.0625,0.003845617044419414,0.00047731570975509255,ARI,5,"42,123,7,2025,3407",T_beta_no_perturb
0.005044697742104432,0.0035699677769508442,Mouse_retina,0.0625,0.0043073327595276375,0.0009576935184096404,NMI,5,"42,123,7,2025,3407",T_beta_no_perturb
0.0011494252873563316,0.0009339080459770833,Mouse_retina,0.0625,0.001053639846743315,0.00013115961626078128,ACC,5,"42,123,7,2025,3407",T_beta_no_perturb
0.0005285775855879526,-0.0006149052210949524,Mouse_retina,0.875,-8.762863366089668e-05,0.000722236916599643,ARI,5,"42,123,7,2025,3407",T_beta_no_snn
0.000749007947877689,-0.0007866862033356181,Mouse_retina,0.875,-9.491812829325319e-05,0.0009618062592182046,NMI,5,"42,123,7,2025,3407",T_beta_no_snn
0.0001436781609195581,-0.00016762452107279557,Mouse_retina,1.0,-2.3946360153237478e-05,0.0001967394243912344,ACC,5,"42,123,7,2025,3407",T_beta_no_snn
0.0005258931951034107,-0.0003561126631815625,Mouse_retina,0.875,8.489026596092408e-05,0.0005736388143181401,ARI,5,"42,123,7,2025,3407",T_edge_none
0.0006596479862233107,-0.0006135285346002383,Mouse_retina,0.875,2.305972581153615e-05,0.0008074085244739337,NMI,5,"42,123,7,2025,3407",T_edge_none
0.0001436781609195137,-9.578544061299432e-05,Mouse_retina,1.0,2.3946360153259684e-05,0.00015611116870691553,ACC,5,"42,123,7,2025,3407",T_edge_none
0.0007883117004653162,-2.562515225634776e-06,Mouse_retina,0.125,0.00043907556441504794,0.0005372774056732445,ARI,5,"42,123,7,2025,3407",T_edge_sim
0.0009887850989098502,-4.0129659560439455e-05,Mouse_retina,0.125,0.0005875500269959977,0.000703235740299841,NMI,5,"42,123,7,2025,3407",T_edge_sim
0.00021551724137931495,4.4408920985006264e-17,Mouse_retina,0.25,0.00011973180076629841,0.00014664090893093553,ACC,5,"42,123,7,2025,3407",T_edge_sim
0.0006888345986822752,0.0,Mouse_retina,0.5,0.0003402366961001935,0.00046612268837499353,ARI,5,"42,123,7,2025,3407",T_edge_sim_mutual
0.0006430335378365681,0.0,Mouse_retina,0.5,0.0002541030825979673,0.00042175024586777767,NMI,5,"42,123,7,2025,3407",T_edge_sim_mutual
0.00016762452107275117,0.0,Mouse_retina,0.5,7.183908045975685e-05,0.00010709137823271843,ACC,5,"42,123,7,2025,3407",T_edge_sim_mutual
0.0,0.0,Mouse_retina,1.0,0.0,0.0,ARI,5,"42,123,7,2025,3407",T_edge_sim_mutual_snn
0.0,0.0,Mouse_retina,1.0,0.0,0.0,NMI,5,"42,123,7,2025,3407",T_edge_sim_mutual_snn
0.0,0.0,Mouse_retina,1.0,0.0,0.0,ACC,5,"42,123,7,2025,3407",T_edge_sim_mutual_snn
0.0006124177647476303,0.0,Mouse_retina,0.5,0.0002622541778927401,0.00039128960054140503,ARI,5,"42,123,7,2025,3407",T_edge_sim_mutual_snn_distance
0.0007378098910943764,0.0,Mouse_retina,0.5,0.0003109036560098533,0.000472537195441239,NMI,5,"42,123,7,2025,3407",T_edge_sim_mutual_snn_distance
0.00016762452107281777,0.0,Mouse_retina,0.5,7.183908045977905e-05,0.00010709137823276186,ACC,5,"42,123,7,2025,3407",T_edge_sim_mutual_snn_distance
0.01628981122607189,0.012113126650255435,Mouse_retina,0.0625,0.014438691150404814,0.002613508929237997,ARI,5,"42,123,7,2025,3407",T_fixed_mean_gate
0.01871239331557952,0.014449093869895036,Mouse_retina,0.0625,0.01659449656666252,0.0027659985984041686,NMI,5,"42,123,7,2025,3407",T_fixed_mean_gate
0.004454022988505746,0.0033764367816092157,Mouse_retina,0.0625,0.0039750957854406185,0.0006950634709626313,ACC,5,"42,123,7,2025,3407",T_fixed_mean_gate
0.014565622184162064,0.008354681178030976,Mouse_retina,0.0625,0.011741865172077249,0.004070902290822967,ARI,5,"42,123,7,2025,3407",T_no_vicinal
0.01664109746152944,0.009483715091050615,Mouse_retina,0.0625,0.013448621230037205,0.00457399169060217,NMI,5,"42,123,7,2025,3407",T_no_vicinal
0.003975095785440574,0.0022749042145594257,Mouse_retina,0.0625,0.0032088122605363977,0.001108408698374773,ACC,5,"42,123,7,2025,3407",T_no_vicinal
-0.0004915215158830755,-0.0030408169700047783,Mouse_retina,0.0625,-0.0016470817633780443,0.001641454837670293,ARI,5,"42,123,7,2025,3407",T_random_neighbor
0.0025368989685326413,-0.0002479501177698351,Mouse_retina,0.3125,0.0011048274947215609,0.001827084215677133,NMI,5,"42,123,7,2025,3407",T_random_neighbor
