dataset_id,seed,K_registry,K_offset,K_readout,labels_read_after_fit,ARI,NMI,ACC
Pollen,42,11,-1,10,True,0.9731041190232885,0.9689018623305647,0.9700996677740864
Pollen,42,11,0,11,True,0.9576625863763094,0.9517985459799246,0.9368770764119602
Pollen,42,11,1,12,True,0.9246320590739576,0.9327459460897378,0.9036544850498339
Pollen,123,11,-1,10,True,0.9329968917113041,0.944678073138039,0.9235880398671097
Pollen,123,11,0,11,True,0.9610492343852464,0.9616351095230327,0.9368770764119602
Pollen,123,11,1,12,True,0.9392745963911329,0.9475554007435427,0.920265780730897
Pollen,7,11,-1,10,True,0.936879411955218,0.9427810187148022,0.9302325581395349
Pollen,7,11,0,11,True,0.9580657155605906,0.9538075583176423,0.9368770764119602
Pollen,7,11,1,12,True,0.9388552562703756,0.9502979181118574,0.9169435215946844
Pollen,2025,11,-1,10,True,0.9660785540989171,0.9576449375837962,0.9634551495016611
Pollen,2025,11,0,11,True,0.9610353898677569,0.9590534742638828,0.9401993355481728
Pollen,2025,11,1,12,True,0.9292401617113673,0.9404551514503716,0.9136212624584718
Pollen,3407,11,-1,10,True,0.9296653727651922,0.9368926651785652,0.920265780730897
Pollen,3407,11,0,11,True,0.9562580360493971,0.9536073581478525,0.9368770764119602
Pollen,3407,11,1,12,True,0.9258702755226365,0.9460802588182281,0.9036544850498339
Wang,42,2,0,2,True,0.936762659210047,0.8745515643277421,0.9853976258010295
Wang,42,2,1,3,True,0.4180226146091868,0.5891403623011858,0.6405084567706691
Wang,123,2,0,2,True,0.9187855845136785,0.8520874066290508,0.9810904506775922
Wang,123,2,1,3,True,0.40578490872496986,0.5702376927887883,0.6334699023006618
Wang,7,2,0,2,True,0.9372254946106423,0.8763434958937006,0.9855026788528207
Wang,7,2,1,3,True,0.4110144292053779,0.5774138827573955,0.6362012816472319
Wang,2025,2,0,2,True,0.8684095322592278,0.78962976891096,0.968694190566236
Wang,2025,2,1,3,True,0.3829227836828082,0.5359781250598714,0.6323143187309591
Wang,3407,2,0,2,True,0.9528357474381886,0.8999500111239089,0.9891795356655111
Wang,3407,2,1,3,True,0.4237907441196968,0.5999821099259115,0.6386175018384284
Mouse_retina,42,5,-1,4,True,0.9438198238340836,0.8778917749030016,0.9400143678160919
Mouse_retina,42,5,0,5,True,0.9715916111610209,0.9442338259244447,0.9920977011494253
Mouse_retina,42,5,1,6,True,0.6354016681121134,0.771203818118302,0.8619492337164751
Mouse_retina,123,5,-1,4,True,0.957034419089397,0.8921481408853852,0.9477969348659003
Mouse_retina,123,5,0,5,True,0.9697570785217894,0.9415977373228935,0.9914990421455939
Mouse_retina,123,5,1,6,True,0.6407908178911768,0.7671162038820809,0.8648227969348659
Mouse_retina,7,5,-1,4,True,0.9344012723600517,0.8628283801596619,0.9376197318007663
Mouse_retina,7,5,0,5,True,0.9605585768652329,0.9322246715003726,0.9889846743295019
Mouse_retina,7,5,1,6,True,0.6299725497457529,0.7671508765905264,0.8585967432950191
Mouse_retina,2025,5,-1,4,True,0.9301914733873728,0.8585145625838974,0.936661877394636
Mouse_retina,2025,5,0,5,True,0.9692670362441955,0.9379283666751367,0.9912595785440613
Mouse_retina,2025,5,1,6,True,0.6404554877472637,0.769590430046282,0.8632662835249042
Mouse_retina,3407,5,-1,4,True,0.9401953118347665,0.8730910271921072,0.9388170498084292
Mouse_retina,3407,5,0,5,True,0.9657656530460118,0.935265015949114,0.9901819923371648
Mouse_retina,3407,5,1,6,True,0.6347963369442634,0.7671106983438564,0.8611111111111112
breast_cancer_wisconsin_original,42,2,0,2,True,0.896606689978286,0.8287411626113679,0.9736456808199122
breast_cancer_wisconsin_original,42,2,1,3,True,0.7399995056964795,0.6671349963657837,0.8814055636896047
breast_cancer_wisconsin_original,123,2,0,2,True,0.8910118610659804,0.8178227522988699,0.972181551976574
breast_cancer_wisconsin_original,123,2,1,3,True,0.7282722832990379,0.6559353196078039,0.8740849194729137
breast_cancer_wisconsin_original,7,2,0,2,True,0.8853675598326123,0.8024318015041162,0.9707174231332357
breast_cancer_wisconsin_original,7,2,1,3,True,0.6832815282679706,0.6339851073164215,0.8521229868228404
