ACC_mean,ACC_std,ARI_mean,ARI_std,NMI_mean,NMI_std,dataset_group,dataset_id,fit_seconds_mean,fit_seconds_std,gate_density_spearman_mean,gate_density_spearman_std,gate_intrinsic_dimension_spearman_mean,gate_intrinsic_dimension_spearman_std,labels_used_during_fit,n_completed,n_requested,neighbor_label_purity_post_fit_mean_mean,neighbor_label_purity_post_fit_mean_std,peak_cuda_allocated_bytes_mean,peak_cuda_allocated_bytes_std,status,variant,wall_seconds_mean,wall_seconds_std
0.6081313325638066,0.018009729946697774,0.5355906993494093,0.012892877836176889,0.7486090824999059,0.00915865330053424,general,ISOLET,54.79186651762575,1.5435576262974133,,,,,False,5,5,0.8030524849891663,0.0,96512512.0,0.0,completed,F_matched_total_mix,61.585862934030594,3.0900053602256237
0.594767218160831,0.005369559362819443,0.5194345616466729,0.011162616507656728,0.7402131936343961,0.010113377958659287,general,ISOLET,56.88208793140948,2.6607299246031513,0.8304969159021003,1.2412670766236366e-16,-0.37144553389009644,0.0,False,5,5,0.8030524849891663,0.0,96512512.0,0.0,completed,T_beta_no_mutual,61.45788077302277,3.1880884714634687
0.6044889059894831,0.021282975994916343,0.5251357698265068,0.024822822696512762,0.7418643198640155,0.014009939037150696,general,ISOLET,56.89506548531354,1.402797979954969,0.45857248019992464,0.0,-0.34301841024664975,0.0,False,5,5,0.8030524849891663,0.0,96512512.0,0.0,completed,T_beta_no_perturb,61.78134560883045,1.7330759446087012
0.6062331666025395,0.0018988591020466057,0.5292400437244952,0.01800719601103118,0.7499307189057124,0.009839069647185181,general,ISOLET,55.76525713130832,1.3784070006796372,0.6430685000803399,0.0,-0.3118736010041301,0.0,False,5,5,0.8030524849891663,0.0,96512512.0,0.0,completed,T_beta_no_snn,60.885545989125966,1.9423880901512538
0.6021290239835835,0.013050922965870793,0.530842191406541,0.016031929065802773,0.7447509718496085,0.010269393171653984,general,ISOLET,60.33836592976004,1.316558900785196,0.6468479455677419,0.0,-0.3577634240536721,0.0,False,5,5,0.8030524849891663,0.0,96512512.0,0.0,completed,T_edge_none,66.30997919626535,2.151887740078504
0.5977940233423111,0.016906253228969183,0.5210037293730209,0.012193914879207337,0.7432732879459826,0.007034399951424724,general,ISOLET,56.64683328066021,1.8208950422699606,0.6468479455677419,0.0,-0.3577634240536721,0.0,False,5,5,0.8030524849891663,0.0,96512512.0,0.0,completed,T_edge_sim,62.57494764775038,3.0899324019600094
0.6021033730922148,0.009046986112608176,0.5246331480582767,0.012569848459045647,0.7476761881311023,0.010435587665300004,general,ISOLET,56.312378397770225,2.1212072764892955,0.6468479455677419,0.0,-0.3577634240536721,0.0,False,5,5,0.8030524849891663,0.0,96512512.0,0.0,completed,T_edge_sim_mutual,62.51504316013306,3.520451866360845
0.6104399127869693,0.015496142731961626,0.5392470935430648,0.01797487155649315,0.7505897767035582,0.013059198172826195,general,ISOLET,57.66505968868732,2.9637598866193406,0.6468479455677419,0.0,-0.3577634240536721,0.0,False,5,5,0.8030524849891663,0.0,96512512.0,0.0,completed,T_edge_sim_mutual_snn,62.817403715290126,3.5157536570796086
0.6103886110042325,0.019096007603687674,0.5353403058418917,0.015929243686452692,0.751492527679623,0.009856071189695717,general,ISOLET,57.295094440877435,1.2017085945529211,0.6468479455677419,0.0,-0.3577634240536721,0.0,False,5,5,0.8030524849891663,0.0,96512512.0,0.0,completed,T_edge_sim_mutual_snn_distance,62.734661747515204,2.818460154799814
0.5933820700269334,0.025234630685181524,0.5225027733767719,0.02072560608062727,0.7454253940869706,0.013955816980818762,general,ISOLET,60.67761188019067,1.14408742408357,,,,,False,5,5,0.8030524849891663,0.0,96512512.0,0.0,completed,T_fixed_mean_gate,65.98918123785407,1.0883841338435782
