ACC,ARI,K_registry,NMI,actual_batch_size,attempt,dataset_group,dataset_id,error,error_type,fit_seconds,gate_density_spearman,gate_distribution_preserved,gate_intrinsic_dimension_spearman,labels_read_after_fit,labels_used_during_fit,matched_total_mixing,mean_full_topology_gate,neighbor_label_purity_post_fit_mean,observed_K_after_fit,peak_cuda_allocated_bytes,seed,status,variant,wall_seconds
0.9368770764119602,0.9576625863763094,11,0.9517985459799246,256,1,biological,Pollen,,,4.761561596766114,0.7053503773294318,False,-0.5093032056500407,True,False,False,0.13919377326965332,0.9501661062240601,11,227512320,42,completed,T_full,6.177110657095909
0.9368770764119602,0.9610492343852464,11,0.9616351095230327,256,1,biological,Pollen,,,5.8510672794654965,0.6920507799608371,False,-0.5486677960880949,True,False,False,0.13892419636249542,0.9457364082336426,11,227512320,123,completed,T_full,7.542804007418454
0.9368770764119602,0.9580657155605906,11,0.9538075583176423,256,1,biological,Pollen,,,7.031049665994942,0.6853424567116236,False,-0.5491109106510308,True,False,False,0.13873456418514252,0.9523810148239136,11,227512320,7,completed,T_full,10.201580391265452
0.9401993355481728,0.9610353898677569,11,0.9590534742638828,256,1,biological,Pollen,,,4.9744991064071655,0.6805069195397242,False,-0.5101454313436449,True,False,False,0.13946494460105896,0.9479511976242065,11,227512320,2025,completed,T_full,10.311530478298664
0.9368770764119602,0.9562580360493971,11,0.9536073581478525,256,1,biological,Pollen,,,6.94536111317575,0.6623440628369014,False,-0.5453939407273768,True,False,False,0.1385393589735031,0.9512735605239868,11,227512320,3407,completed,T_full,10.114587204530835
0.9368770764119602,0.9556924156589283,11,0.9495517624688466,256,1,biological,Pollen,,,6.107462962158024,nan,False,nan,True,False,True,0.13919377326965332,0.9501661062240601,11,227512320,42,completed,F_matched_total_mix,8.88129112124443
0.9368770764119602,0.9580955096127466,11,0.9564236974874687,256,1,biological,Pollen,,,5.491831332445145,nan,False,nan,True,False,True,0.13892419636249542,0.9457364082336426,11,227512320,123,completed,F_matched_total_mix,8.539753388613462
0.9335548172757475,0.9580582604265178,11,0.9534004276160645,256,1,biological,Pollen,,,6.095934083685279,nan,False,nan,True,False,True,0.13873456418514252,0.9523810148239136,11,227512320,7,completed,F_matched_total_mix,8.235128476284444
0.9401993355481728,0.9610492343852464,11,0.9616351095230327,256,1,biological,Pollen,,,6.465530674904585,nan,False,nan,True,False,True,0.13946494460105896,0.9479511976242065,11,227512320,2025,completed,F_matched_total_mix,9.347992572002113
0.9435215946843853,0.958829924400796,11,0.9569000888218137,256,1,biological,Pollen,,,4.815115012228489,nan,False,nan,True,False,True,0.1385393589735031,0.9512735605239868,11,227512320,3407,completed,F_matched_total_mix,5.9673050520941615
0.9368770764119602,0.9576625863763094,11,0.9517985459799246,256,1,biological,Pollen,,,4.721756627783179,0.05122791577743064,True,0.047738003564278014,True,False,False,0.13919377326965332,0.9501661062240601,11,227512320,42,completed,T_shuffled_gate,5.671378158964217
0.9335548172757475,0.9580582604265178,11,0.9534004276160642,256,1,biological,Pollen,,,5.763520506210625,-0.06660183494312558,True,0.04310620228377814,True,False,False,0.13892419636249542,0.9457364082336426,11,227512320,123,completed,T_shuffled_gate,10.009628295898438
0.9368770764119602,0.9610492343852464,11,0.9616351095230327,256,1,biological,Pollen,,,6.83903549797833,-0.010357087852852526,True,0.05443180568084312,True,False,False,0.13873456418514252,0.9523810148239136,11,227512320,7,completed,T_shuffled_gate,10.249775723554194
0.9401993355481728,0.9610492343852464,11,0.9616351095230327,256,1,biological,Pollen,,,5.738071597181261,0.02298915315394601,True,-0.11480803502673209,True,False,False,0.13946494460105896,0.9479511976242065,11,227512320,2025,completed,T_shuffled_gate,9.789338238537312
0.9368770764119602,0.9535406737010886,11,0.9485567487893656,256,1,biological,Pollen,,,5.765399180352688,0.07001958152735915,True,0.09725550592946251,True,False,False,0.1385393589735031,0.9512735605239868,11,227512320,3407,completed,T_shuffled_gate,10.121480470523238
0.9368770764119602,0.9556924156589283,11,0.9495517624688466,256,1,biological,Pollen,,,5.545713366940618,nan,False,nan,True,False,False,0.13919377326965332,0.9501661062240601,11,227512320,42,completed,T_fixed_mean_gate,9.870700537227094
0.9368770764119602,0.9580955096127466,11,0.9564236974874687,256,1,biological,Pollen,,,6.902442115359008,nan,False,nan,True,False,False,0.13892419636249542,0.9457364082336426,11,227512320,123,completed,T_fixed_mean_gate,10.199973428621888
