bootstrap_ci_high,bootstrap_ci_low,datasets,mean_dataset_delta,metric,n_completed_datasets,variant
0.006121095936779827,0.0011643009593322847,"ISOLET,Mouse_retina,Pollen,Wang,breast_cancer_wisconsin_original,reuters,sms_spam_collection,spambase",0.003465889768110214,ACC,8,T_no_vicinal
0.01628437527508217,0.0018000300173970263,"ISOLET,Mouse_retina,Pollen,Wang,breast_cancer_wisconsin_original,reuters,sms_spam_collection,spambase",0.008423702674889804,ARI,8,T_no_vicinal
0.019127185705674062,0.001449562454584104,"ISOLET,Mouse_retina,Pollen,Wang,breast_cancer_wisconsin_original,reuters,sms_spam_collection,spambase",0.008994270743354883,NMI,8,T_no_vicinal
0.007237019410281518,-0.0003830382518593161,"ISOLET,Mouse_retina,Pollen,Wang,breast_cancer_wisconsin_original,reuters,sms_spam_collection,spambase",0.002416649345485014,ACC,8,T_random_neighbor
0.008443407212607671,-0.0015547724246515334,"ISOLET,Mouse_retina,Pollen,Wang,breast_cancer_wisconsin_original,reuters,sms_spam_collection,spambase",0.002745755085696634,ARI,8,T_random_neighbor
0.005528337271834128,-0.00031892414189603024,"ISOLET,Mouse_retina,Pollen,Wang,breast_cancer_wisconsin_original,reuters,sms_spam_collection,spambase",0.002324324199478244,NMI,8,T_random_neighbor
0.007011970775543397,-0.00017915675781471146,"ISOLET,Mouse_retina,Pollen,Wang,breast_cancer_wisconsin_original,reuters,sms_spam_collection,spambase",0.0023867653231623097,ACC,8,T_shuffled_gate
0.006583042805604409,-0.0007972545301689005,"ISOLET,Mouse_retina,Pollen,Wang,breast_cancer_wisconsin_original,reuters,sms_spam_collection,spambase",0.002118157771774884,ARI,8,T_shuffled_gate
0.004852850452779345,-0.0006486860009085936,"ISOLET,Mouse_retina,Pollen,Wang,breast_cancer_wisconsin_original,reuters,sms_spam_collection,spambase",0.0018248532412224558,NMI,8,T_shuffled_gate
0.0001542221383964343,-0.0004767294796700391,"ISOLET,Mouse_retina,Pollen,Wang,breast_cancer_wisconsin_original,reuters,sms_spam_collection,spambase",-0.00011503146365207109,ACC,8,T_uniform_pseudo_loss
8.48830497813674e-05,-0.0019559537545327447,"ISOLET,Mouse_retina,Pollen,Wang,breast_cancer_wisconsin_original,reuters,sms_spam_collection,spambase",-0.0009133985636722505,ARI,8,T_uniform_pseudo_loss
0.002322324657539429,-0.0014615122902338713,"ISOLET,Mouse_retina,Pollen,Wang,breast_cancer_wisconsin_original,reuters,sms_spam_collection,spambase",0.00028441531927606993,NMI,8,T_uniform_pseudo_loss
