dataset,ari_v9_full_mean,ari_v9_full_std,ari_v9_nomix_mean,ari_v9_nomix_std,ari_v9_static_mean,ari_v9_static_std,ari_v9_random_mean,ari_v9_random_std,ari_delta_full_nomix_mean,ari_delta_full_nomix_std,ari_delta_full_nomix_positive_seeds,ari_delta_full_static_mean,ari_delta_full_static_std,ari_delta_full_static_positive_seeds,ari_delta_full_random_mean,ari_delta_full_random_std,ari_delta_full_random_positive_seeds,nmi_v9_full_mean,nmi_v9_full_std,nmi_v9_nomix_mean,nmi_v9_nomix_std,nmi_v9_static_mean,nmi_v9_static_std,nmi_v9_random_mean,nmi_v9_random_std,nmi_delta_full_nomix_mean,nmi_delta_full_nomix_std,nmi_delta_full_nomix_positive_seeds,nmi_delta_full_static_mean,nmi_delta_full_static_std,nmi_delta_full_static_positive_seeds,nmi_delta_full_random_mean,nmi_delta_full_random_std,nmi_delta_full_random_positive_seeds,acc_v9_full_mean,acc_v9_full_std,acc_v9_nomix_mean,acc_v9_nomix_std,acc_v9_static_mean,acc_v9_static_std,acc_v9_random_mean,acc_v9_random_std,acc_delta_full_nomix_mean,acc_delta_full_nomix_std,acc_delta_full_nomix_positive_seeds,acc_delta_full_static_mean,acc_delta_full_static_std,acc_delta_full_static_positive_seeds,acc_delta_full_random_mean,acc_delta_full_random_std,acc_delta_full_random_positive_seeds,n,d,K,log_nd,mean_knn,p95_knn,cv_knn,mutual,components,adv_protocol
balance_scale,0.1900421686316707,0.08920445547737889,0.10910162577960336,0.10334801977873866,0.20307906861549552,0.15031886791603943,0.19798070497127174,0.08155249931255697,0.08094054285206732,0.023114473684318522,3,-0.013036899983824804,0.06113171282096569,2,-0.007938536339601043,0.021652004661184384,2,0.17673776855156842,0.09628692695596018,0.09525404258057109,0.08778052789922645,0.18462969610695734,0.14702169853899327,0.1848099673795999,0.08600445573829472,0.08148372597099733,0.027398234077995944,3,-0.007891927555388931,0.051391704114375485,2,-0.008072198828031502,0.021266001863209354,1,0.5456,0.06198838600899364,0.4832,0.09361025584838446,0.5568000000000001,0.09011281817810385,0.5493333333333333,0.06164327484270555,0.062399999999999976,0.0324764530082951,3,-0.011200000000000024,0.02919726014543149,2,-0.003733333333333385,0.009237604307034035,2,625,4,3,0.6989700043360189,0.7086063944668726,0.7071067811865475,0.029500174192756,0.82944,1,True
glass,0.3904035144222398,0.009820534574255439,0.34966423805144453,0.06889943253730174,0.37781710220348524,0.024326003876262315,0.3885850907263187,0.005732288797534269,0.04073927637079533,0.07760943440876747,2,0.012586412218754672,0.033838964704799065,1,0.0018184236959211675,0.004265494923215088,1,0.6378303241890863,0.017535789840144526,0.6138760452489297,0.04401780033488142,0.6283199949572533,0.012870282651021905,0.6360936618691732,0.010449586334612375,0.023954278940156597,0.05943029789725823,1,0.009510329231832962,0.030405586563452797,2,0.001736662319913133,0.007159225870607736,1,0.4517133956386293,0.00269789845415713,0.43769470404984423,0.01888528917909991,0.4454828660436137,0.00539579690831426,0.45482866043613707,0.002697898454157098,0.014018691588785048,0.01618739072494278,3,0.006230529595015577,0.00269789845415713,3,-0.00311526479750777,0.005395796908314228,0,214,10,6,0.2330413773349191,1.3181958965159284,3.743912264293181,0.9622094429157184,0.5663551401869159,1,False
image_segment,0.2728147343853067,0.039912556883647865,0.2514600893566192,0.01397708450067247,0.26524674327109743,0.02177133584271261,0.2523134932017097,0.02932101277417891,0.021354645028687464,0.04303387137214049,2,0.007567991114209259,0.018170581879361512,2,0.020501241183596964,0.03665492486769076,2,0.3810087176372659,0.01697554275275067,0.3808858958701949,0.010052122837859077,0.3792959443752613,0.009699808664596484,0.3660293650070295,0.022593007316167233,0.0001228217670709945,0.008189129235734172,2,0.0017127732620044744,0.007962829392085966,2,0.014979352630236345,0.02717527768227478,1,0.4968253968253968,0.030242156957551815,0.4936507936507936,0.015307382160306318,0.5047619047619047,0.008247860988423195,0.48095238095238085,0.02896553585856293,0.0031746031746031633,0.038490017945975084,2,-0.007936507936507964,0.0270773366813206,1,0.015873015873015855,0.027492869961410715,1,210,19,7,0.1222220681438904,1.4213647288227216,3.8516697900840176,1.2166655264543602,0.6304761904761905,3,False
landsat,0.5379230057771865,0.006433115105973565,0.532422308704628,0.009932519147373376,0.5355872224183192,0.0032037389710133485,0.5392200542980489,0.0044936437174592165,0.005500697072558587,0.005543012178733828,3,0.002335783358867342,0.004992993668011532,2,-0.0012970485208623206,0.00242949399590405,1,0.6309316148023604,0.004885344381170262,0.6306824065243285,0.0010847483347966745,0.6333066026856576,0.006934391463344092,0.6321418406434488,0.0036462724600040864,0.0002492082780319131,0.0051386292968363485,1,-0.0023749878832972637,0.00248051469398381,1,-0.0012102258410885043,0.0016390866381690943,1,0.7088312664411877,0.004010318398182422,0.7053739195791056,0.005660978596813362,0.7079293498684706,0.0022585462910660425,0.7095828635851184,0.0034046603992201837,0.003457346862081915,0.004699135372368438,2,0.0009019165727169876,0.002386246954736957,2,-0.0007515971439308785,0.001241842288001422,1,4435,36,6,0.1013026006713262,1.4290896186023991,2.4762487265891697,0.3560004280121879,0.5117474633596393,1,True
spect_heart,0.24806707310785484,0.025299503655242812,0.26060945341633307,0.016904965444689935,0.24911311669707362,0.016387153968320592,0.21701512660793398,0.04729316828509441,-0.012542380308478188,0.024715596368102673,1,-0.001046043589218763,0.04049439499939204,1,0.03105194649992088,0.05617088999093183,2,0.14931858245074145,0.009087911119006949,0.15729515559817417,0.01141325086657846,0.13999463982501695,0.01347435665183662,0.1385435355099975,0.011393240693361386,-0.007976573147432728,0.002819738482771911,0,0.009323942625724465,0.022562240348769146,2,0.010775046940743929,0.018611862686719254,2,0.766541822721598,0.01688857585326925,0.7727840199750312,0.008649442235050594,0.7715355805243446,0.013503937361288382,0.7478152309612983,0.03539936798691095,-0.0062421972534331864,0.01847521671279494,1,-0.004993757802746542,0.02760717151997004,1,0.01872659176029967,0.0368871078718955,2,267,22,2,0.1102959664256625,3.229212022610615,5.391586081130308,0.5177633352120885,0.4314606741573034,1,True
vehicle,0.07486536316044128,0.009930540057345835,0.08630162716147988,0.027375855391420328,0.08365803820732474,0.0031864932432678164,0.07499630909667072,0.010049279533938428,-0.011436264001038601,0.02131975025159662,1,-0.008792675046883469,0.011595977998450349,1,-0.000130945936229467,0.00022680501459411103,0,0.11259096684181703,0.008038019009031137,0.12356728646637956,0.025877389631137192,0.1196013146071913,0.0028371124992225476,0.11274633084645186,0.008180642498779166,-0.010976319624562534,0.020963672215887432,2,-0.007010347765374268,0.009074519899350009,1,-0.0001553640046348346,0.0002690983496949001,0,0.3951930654058313,0.025932990814664044,0.4066193853427896,0.03606653972196777,0.4141055949566588,0.004475105079432846,0.3951930654058313,0.025932990814664044,-0.011426319936958215,0.01809450355115057,1,-0.018912529550827433,0.027947022263680597,1,0.0,0.0,0,846,18,4,0.1626316868355013,1.4405355336702803,2.0335762624294853,0.3512112109408951,0.6813238770685579,2,False
vertebral_column,0.23399849286975902,0.007167774836397714,0.2510598025146813,0.013027648170815522,0.24245303611773672,0.0074914961808579435,0.23399849286975902,0.007167774836397714,-0.017061309644922234,0.014777058165835836,0,-0.008454543247977694,0.007323578514599025,0,0.0,0.0,0,0.21822568477702098,0.011011971400261264,0.22443076939996953,0.01587107993583506,0.2212080731111593,0.014591388521736958,0.21822568477702095,0.011011971400261252,-0.006205084622948563,0.007686477785129979,0,-0.0029823883341383306,0.0039818530060552835,0,3.700743415417188e-17,6.409875621278547e-17,1,0.7430107526881721,0.0037248404463846277,0.7516129032258064,0.006451612903225823,0.7473118279569891,0.003724840446384692,0.7430107526881721,0.0037248404463846277,-0.008602150537634393,0.007449680892769352,0,-0.004301075268817178,0.0037248404463846594,0,0.0,0.0,0,310,6,2,0.4152269489723788,0.9056263464396386,1.6726722935209923,0.7560833578548269,0.6090322580645161,1,False
