acc,ari,dataset,elapsed,error,fmi,n_clusters,n_features,n_samples,nmi,seed,source_sha256,status,variant
0.7677902621722846,0.25393768728635696,spect_heart,1.188694715499878,,0.7121559658970721,2,22,267,0.1586686220604211,42,07ce03b3056bcb87c7afcc29eeedc511a28738b817fa458c70502dd35b6858c6,completed,v9_full
0.7827715355805244,0.26991516372910807,spect_heart,1.4786841869354248,,0.7317545873696861,2,22,267,0.14876941988774078,123,07ce03b3056bcb87c7afcc29eeedc511a28738b817fa458c70502dd35b6858c6,completed,v9_full
0.7490636704119851,0.2203483683080997,spect_heart,1.0266139507293701,,0.6939235785594281,2,22,267,0.14051770540406255,7,07ce03b3056bcb87c7afcc29eeedc511a28738b817fa458c70502dd35b6858c6,completed,v9_full
0.7827715355805244,0.27983223388818884,spect_heart,0.41527867317199707,,0.7284977389278083,2,22,267,0.16795952309567022,42,07ce03b3056bcb87c7afcc29eeedc511a28738b817fa458c70502dd35b6858c6,completed,v9_nomix
0.7677902621722846,0.25393768728635696,spect_heart,0.41384339332580566,,0.7121559658970721,2,22,267,0.1586686220604211,123,07ce03b3056bcb87c7afcc29eeedc511a28738b817fa458c70502dd35b6858c6,completed,v9_nomix
0.7677902621722846,0.24805843907445355,spect_heart,0.41609907150268555,,0.7141264554254728,2,22,267,0.14525732163843122,7,07ce03b3056bcb87c7afcc29eeedc511a28738b817fa458c70502dd35b6858c6,completed,v9_nomix
0.7827715355805244,0.2545009066747283,spect_heart,0.9730422496795654,,0.7367885535368147,2,22,267,0.12615415783050257,42,07ce03b3056bcb87c7afcc29eeedc511a28738b817fa458c70502dd35b6858c6,completed,v9_static
0.7565543071161048,0.23071038328686846,spect_heart,1.552488088607788,,0.7020195234184818,2,22,267,0.14075947012919018,123,07ce03b3056bcb87c7afcc29eeedc511a28738b817fa458c70502dd35b6858c6,completed,v9_static
0.7752808988764045,0.26212806012962425,spect_heart,0.9840648174285889,,0.721750292971431,2,22,267,0.15307029151535836,7,07ce03b3056bcb87c7afcc29eeedc511a28738b817fa458c70502dd35b6858c6,completed,v9_static
0.7078651685393258,0.16260611947819573,spect_heart,0.895155668258667,,0.6553404174379693,2,22,267,0.13551165684524677,42,07ce03b3056bcb87c7afcc29eeedc511a28738b817fa458c70502dd35b6858c6,completed,v9_random
0.7752808988764045,0.24826792905126124,spect_heart,0.895263671875,,0.7263348606599578,2,22,267,0.12897291914104994,123,07ce03b3056bcb87c7afcc29eeedc511a28738b817fa458c70502dd35b6858c6,completed,v9_random
0.7602996254681648,0.24017133129434515,spect_heart,0.9191379547119141,,0.7047318846141335,2,22,267,0.1511460305436959,7,07ce03b3056bcb87c7afcc29eeedc511a28738b817fa458c70502dd35b6858c6,completed,v9_random
0.4532710280373832,0.38860624544741573,glass,1.1351041793823242,,0.530147037814056,6,10,214,0.6357778751289882,42,82ba9fce4cb9df7ce9f11e2b513cbf1cd3394d791e73be465bbdeca08d77b560,completed,v9_full
0.4485981308411215,0.40099855378456556,glass,0.8465509414672852,,0.5401784503913706,6,10,214,0.6563020213398324,123,82ba9fce4cb9df7ce9f11e2b513cbf1cd3394d791e73be465bbdeca08d77b560,completed,v9_full
0.4532710280373832,0.38160574403473846,glass,0.7069597244262695,,0.5242273915731142,6,10,214,0.6214110760984382,7,82ba9fce4cb9df7ce9f11e2b513cbf1cd3394d791e73be465bbdeca08d77b560,completed,v9_full
0.4485981308411215,0.3991484155200961,glass,0.2951385974884033,,0.5385160172643558,6,10,214,0.646101601814652,42,82ba9fce4cb9df7ce9f11e2b513cbf1cd3394d791e73be465bbdeca08d77b560,completed,v9_nomix
0.4158878504672897,0.27097199696190816,glass,0.2738823890686035,,0.4471237689369866,6,10,214,0.5637235567096113,123,82ba9fce4cb9df7ce9f11e2b513cbf1cd3394d791e73be465bbdeca08d77b560,completed,v9_nomix
0.4485981308411215,0.37887230167232944,glass,0.27510643005371094,,0.5229739002044549,6,10,214,0.6318029772225257,7,82ba9fce4cb9df7ce9f11e2b513cbf1cd3394d791e73be465bbdeca08d77b560,completed,v9_nomix
0.4485981308411215,0.39018924376212444,glass,0.6624372005462646,,0.5310755441415408,6,10,214,0.6296571057088255,42,82ba9fce4cb9df7ce9f11e2b513cbf1cd3394d791e73be465bbdeca08d77b560,completed,v9_static
0.4392523364485981,0.34979179953456674,glass,0.6589136123657227,,0.5028137270956577,6,10,214,0.6148333556121012,123,82ba9fce4cb9df7ce9f11e2b513cbf1cd3394d791e73be465bbdeca08d77b560,completed,v9_static
0.4485981308411215,0.39347026331376456,glass,0.6688036918640137,,0.534003899224197,6,10,214,0.6404695235508332,7,82ba9fce4cb9df7ce9f11e2b513cbf1cd3394d791e73be465bbdeca08d77b560,completed,v9_static
0.4532710280373832,0.38860624544741573,glass,0.6171925067901611,,0.530147037814056,6,10,214,0.6357778751289883,42,82ba9fce4cb9df7ce9f11e2b513cbf1cd3394d791e73be465bbdeca08d77b560,completed,v9_random
0.45794392523364486,0.3943067728868202,glass,0.7683255672454834,,0.5359565303552136,6,10,214,0.6466975623049132,123,82ba9fce4cb9df7ce9f11e2b513cbf1cd3394d791e73be465bbdeca08d77b560,completed,v9_random
0.4532710280373832,0.38284225384472026,glass,0.9443025588989258,,0.525385679028656,6,10,214,0.6258055481736179,7,82ba9fce4cb9df7ce9f11e2b513cbf1cd3394d791e73be465bbdeca08d77b560,completed,v9_random
0.4101654846335697,0.0807735337965306,vehicle,2.9283244609832764,,0.32557582651930855,4,18,846,0.11739849006605431,42,8b080d62deb44713e36ec78a67a7b90c7e5c9e1bfea09f59dcad669b3e6da33e,completed,v9_full
0.4101654846335697,0.08042219821751996,vehicle,3.585710287094116,,0.32565325270045714,4,18,846,0.11706292627740396,123,8b080d62deb44713e36ec78a67a7b90c7e5c9e1bfea09f59dcad669b3e6da33e,completed,v9_full
0.36524822695035464,0.06340035746727332,vehicle,3.0221736431121826,,0.31093210261787413,4,18,846,0.1033114841819929,7,8b080d62deb44713e36ec78a67a7b90c7e5c9e1bfea09f59dcad669b3e6da33e,completed,v9_full
0.44208037825059104,0.11678449458323208,vehicle,1.7084598541259766,,0.3548063978673455,4,18,846,0.15256997164328742,42,8b080d62deb44713e36ec78a67a7b90c7e5c9e1bfea09f59dcad669b3e6da33e,completed,v9_nomix
